AUC,Beta1,Beta2
7734.238827,15,1.3
7746.622905,15,1.4
7734.796089,15,1.5
7721.815642,15,1.6
7706.060056,15,1.7
7725.639665,15,1.8
7730.501397,15,1.9
7734.023743,15,2
7736.392458,15,2.1
7742.72486,15,2.2
7737.944134,15,2.3
7732.924581,15,2.4
7746.251397,15,2.5
7769.960894,15,2.6
7791.175978,15,2.7
7787.287709,15,2.8
7789.085196,15,2.9
7777.506983,15,3
7791.062849,15,3.1
7778.77933,15,3.2
7786.505587,15,3.3
7803.786313,15,3.4
7809.289106,15,3.5
7804.632682,15,3.6
7793.837989,15,3.7
7795.113128,15,3.8
7783.23324,15,3.9
7805.927374,15,4
7805.858939,15,4.1
7811.97486,15,4.2
7813.089385,15,4.3
7814.944134,15,4.4
7806.308659,15,4.5
7818.399441,15,4.6
7819.304469,15,4.7
7816.918994,15,4.8
7826.261173,15,4.9
7822.087989,15,5
7819.75838,15,5.1
7820.907821,15,5.2
7823.141061,15,5.3
7825.532123,15,5.4
7825.955307,15,5.5
7825.909218,15,5.6
7826.424581,15,5.7
7823.364525,15,5.8
7836.329609,15,5.9
7841.751397,15,6
7689.356145,16,0
7700.557263,16,0.1
7691.386872,16,0.2
7693.828212,16,0.3
7718.629888,16,0.4
7734.057263,16,0.5
7754.023743,16,0.6
7743.459497,16,0.7
7720.853352,16,0.8
7720.899441,16,0.9
7729.304469,16,1
7720.650838,16,1.1
7727.699721,16,1.2
7735.395251,16,1.3
7730.272346,16,1.4
7740.835196,16,1.5
7729.921788,16,1.6
7727.902235,16,1.7
7728.448324,16,1.8
7730.379888,16,1.9
7732.694134,16,2
7737.460894,16,2.1
7769.590782,16,2.2
7762.691341,16,2.3
7764.082402,16,2.4
7778.210894,16,2.5
7797.945531,16,2.6
7783.847765,16,2.7
7786.853352,16,2.8
7787.303073,16,2.9
7796.347765,16,3
7798.064246,16,3.1
7794.864525,16,3.2
7801.153631,16,3.3
7789.75,16,3.4
7773.015363,16,3.5
7779.48324,16,3.6
7772.607542,16,3.7
7786.659218,16,3.8
7796.452514,16,3.9
7791.76676,16,4
7796.699721,16,4.1
7804.335196,16,4.2
7801.086592,16,4.3
7805.153631,16,4.4
7820.872905,16,4.5
7821.914804,16,4.6
7821.356145,16,4.7
7828.765363,16,4.8
7821.263966,16,4.9
7819.171788,16,5
7820.840782,16,5.1
7813.135475,16,5.2
7827.25419,16,5.3
7830.780726,16,5.4
7824.772346,16,5.5
7826.709497,16,5.6
7832.209497,16,5.7
7829.583799,16,5.8
7837.565642,16,5.9
7828.148045,16,6
7715.421788,17,0
7696.114525,17,0.1
7706.398045,17,0.2
7711.632682,17,0.3
7705.603352,17,0.4
7737.977654,17,0.5
7725.382682,17,0.6
7728.786313,17,0.7
7742.315642,17,0.8
7729.726257,17,0.9
7736.586592,17,1
7733.310056,17,1.1
7748.821229,17,1.2
7741.347765,17,1.3
7727.547486,17,1.4
7724.560056,17,1.5
7723.857542,17,1.6
7727.23324,17,1.7
7735.673184,17,1.8
7764.948324,17,1.9
7780.122905,17,2
7771.023743,17,2.1
7763.789106,17,2.2
7769.808659,17,2.3
7786.136872,17,2.4
7779.506983,17,2.5
7768.663408,17,2.6
7772.723464,17,2.7
7766.26676,17,2.8
7777.469274,17,2.9
7780.462291,17,3
7777.932961,17,3.1
7774.071229,17,3.2
7767.182961,17,3.3
7770.442737,17,3.4
7771.657821,17,3.5
7783.537709,17,3.6
7790.356145,17,3.7
7798.305866,17,3.8
7796.828212,17,3.9
7803.138268,17,4
7801.604749,17,4.1
7805.519553,17,4.2
7816.698324,17,4.3
7829.505587,17,4.4
7816.494413,17,4.5
7820.498603,17,4.6
7820.678771,17,4.7
7823.395251,17,4.8
7804.550279,17,4.9
7806.73743,17,5
7822.909218,17,5.1
7824.198324,17,5.2
7826.206704,17,5.3
7829.663408,17,5.4
7831.406425,17,5.5
7824.305866,17,5.6
7830.388268,17,5.7
7827.600559,17,5.8
7814.738827,17,5.9
7825.857542,17,6
7706.730447,18,0
7712.490223,18,0.1
7714.980447,18,0.2
7736.52514,18,0.3
7746.375698,18,0.4
7723.385475,18,0.5
7738.917598,18,0.6
7740.755587,18,0.7
7746.948324,18,0.8
7747.093575,18,0.9
7747.305866,18,1
7759.236034,18,1.1
7742.736034,18,1.2
7739.402235,18,1.3
7732.238827,18,1.4
7710.093575,18,1.5
7739.822626,18,1.6
7749.593575,18,1.7
7766.375698,18,1.8
7755.791899,18,1.9
7753.184358,18,2
7754.026536,18,2.1
7763.009777,18,2.2
7772.205307,18,2.3
7773.740223,18,2.4
7763.608939,18,2.5
7780.296089,18,2.6
7770.444134,18,2.7
7780.01676,18,2.8
7769,18,2.9
7762.526536,18,3
7771.76257,18,3.1
7777.48743,18,3.2
